location_name,locationtype,geolat,geolong,zip
Venice Beach,Beaches,33.985013,-118.474064,90291
Cabrillo Beach,Beaches,33.711229,-118.283406,90731
Griffith Park Boys Camp,Camps,34.139017,-118.298335,90027
Otis Wallace Children's Campground,Camps,34.26571,-118.3955,91342
Griffith Park - Hollywoodland Girls Camp,Camps,34.125465,-118.314396,90068
Camp Seely,Camps,34.253866,-117.302884,92325
Hermon / Arroyo Seco Dog Park,Dog Parks,34.107407,-118.185319,90042
Runyon Canyon Dog Park,Dog Parks,34.10530646,-118.3488732,90046
Westminster Dog Park,Dog Parks,33.990323,-118.473283,90291
Griffith Park Dog Park,Dog Parks,34.155503,-118.286021,90027
Laurel Canyon Dog Park,Dog Parks,34.122195,-118.378066,90046
Sepulveda Basin Dog Park,Dog Parks,34.185944,-118.515152,91406
Silver Lake Dog Park,Dog Parks,34.092198,-118.264594,90026
Whitnall Dog Park,Dog Parks,34.1760477,-118.3624611,91601
Barrington Dog Park,Dog Parks,34.062494,-118.467569,90049
L.A. Equestrian Center,Equestrian Centers,34.160704,-118.310131,91506
Stetson Ranch Park,Equestrian Centers,34.324324,-118.477802,91342
Hansen Dam - Gabrielino Equestrian Center,Equestrian Centers,34.271,-118.368743,91342
Aliso Canyon Park Equestrian Center,Equestrian Centers,34.27891,-118.526823,91326
Griffith Observatory,Free Wi-Fi Hot Spots,34.118429,-118.300374,90027
Reseda Recreation Center,Free Wi-Fi Hot Spots,34.186871,-118.533699,91335
Echo Park Recreation Center,Free Wi-Fi Hot Spots,34.069801,-118.260119,90026
Cabrillo Beach,Free Wi-Fi Hot Spots,33.711229,-118.283406,90731
Pershing Square,Free Wi-Fi Hot Spots,34.04856,-118.25348,90012
Venice Beach Recreation Area,Free Wi-Fi Hot Spots,33.985826,-118.472771,90291
Drew St,Gardens,34.119958,-118.242682,90065
El Sereno Community Garden,Gardens,34.092346,-118.161574,90032
Solano Canyon Community Garden,Gardens,34.075292,-118.231559,90012
Sepulveda Garden Center,Gardens,34.165368,-118.495504,91406
Watts Rose Garden,Gardens,33.94576539,-118.2439527,90002
Ocean View Farms Community Garden,Gardens,34.014234,-118.441219,90066
Brand Park Memory Garden,Gardens,34.2724,-118.46206,91345
Orcutt Ranch Horticultural Center & Community Garden,Gardens,34.21892526,-118.6410835,91304
Rose Hill Park Community Garden,Gardens,34.090977,-118.193047,90032
Exposition Park Rose Garden,Gardens,34.017727,-118.286074,90037
Rancho Park 3-Par Golf Course,Golf Courses,34.04737,-118.414689,90064
Tregnan Golf Academy,Golf Courses,34.121156,-118.275261,90027
Hansen Dam Golf Course,Golf Courses,34.258801,-118.395868,91331
Harbor Park Golf Course,Golf Courses,33.787333,-118.282907,90744
Harding Golf Course,Golf Courses,34.144505,-118.289258,90027
Penmar Golf Course,Golf Courses,34.00644708,-118.4583439,90291
Encino 18-Hole Golf Course,Golf Courses,34.169876,-118.497232,91436
Los Feliz 3-Par Golf Course,Golf Courses,34.12330116,-118.269339,90039
Rancho Park 18-Hole Golf Course,Golf Courses,34.045022,-118.418289,90064
Roosevelt 9-Hole Golf Course,Golf Courses,34.118472,-118.29388,90027
Woodley Lakes Golf Course,Golf Courses,34.183969,-118.491937,91406
Balboa 18-Hole Golf Course,Golf Courses,34.170607,-118.497806,91436
Armand Hammer / Holmby Pitch and Putt Golf Course,Golf Courses,34.07294331,-118.4293956,90024
Golf Reservations--All Courses,Golf Courses,34.13325553,-118.2728568,90039
Wilson Golf Course,Golf Courses,34.143758,-118.289517,90027
Limekiln Canyon Park,Hiking Trails,34.284817,-118.563025,91326
Aliso Canyon Park,Hiking Trails,34.27891,-118.526823,91326
Jim Gilliam Park,Hiking Trails,34.011922,-118.351674,90008
Ernest E. Debs Regional Park,Hiking Trails,34.095367,-118.190495,90032
Griffith Park,Hiking Trails,34.1182,-118.272105,90027
Runyon Canyon Park,Hiking Trails,34.10530646,-118.3488732,90046
North Hollywood Park,Hiking Trails,34.1679113,-118.3798722,91601
Van Nuys  Sherman Oaks Recreation Center,Hiking Trails,34.15952933,-118.4425227,91423
Chatsworth Park South,Hiking Trails,34.260329,-118.616081,91311
Hansen Dam Park,Hiking Trails,34.273758,-118.383484,91342
O'Melveny Park,Hiking Trails,34.31333,-118.518577,91344
Lake Balboa,Hiking Trails,34.181624,-118.500922,91316
Peck Park,Hiking Trails,33.74779038,-118.3091125,90732
Elysian Park,Hiking Trails,34.079411,-118.235668,90012
Echo Park Lake,Lakes,34.07240833,-118.2600257,90026
Hollenbeck Lake,Lakes,34.04136456,-118.2160944,90033
Lincoln Park Lake,Lakes,34.065824,-118.198986,90031
MacArthur Park Lake,Lakes,34.058107,-118.276802,90057
Ernest E. Debs Lake,Lakes,34.091471,-118.193514,90032
Reseda Park Lake,Lakes,34.186771,-118.533703,91335
Ken Malloy Harbor Regional Lake,Lakes,33.787619,-118.29502,90710
Banning Residence Museum,Museums,33.789925,-118.258813,90744
Campo de Cahuenga,Museums,34.139806,-118.362314,91604
Drum Barracks Civil War Museum,Museums,33.784702,-118.258156,90744
Griffith Park - Travel Town Museum,Museums,34.153834,-118.308641,90027
Griffith Park - Autry Museum of Western Heritage,Museums,34.148715,-118.282023,90027
Heritage Square Museum,Museums,34.088502,-118.208039,90031
Los Angeles Maritime Museum,Museums,33.738796,-118.278879,90731
El Pueblo de Los Angeles (Olvera Street),Museums,34.056616,-118.238786,90012
Bolton Hall Historical Museum,Museums,34.252605,-118.288271,91042
Griffith Park - Ferndell Nature Museum / Gardens,Museums,34.112664,-118.307353,90027
Fort MacArthur Museum,Museums,33.712199,-118.296098,90731
Minnie Hill Palmer House / Homestead Acre,Museums,34.25966916,-118.6149602,91311
Griffith Observatory,Museums,34.118429,-118.300374,90027
Point Fermin Lighthouse Museum,Museums,33.705524,-118.29368,90731
Cabrillo Marine Aquarium,Museums,33.711251,-118.285293,90731
Cahuenga Peak,Open Space,34.134173,-118.334606,90068
Gage and Avalon Pocket Park,Outdoor Fitness Equipment,33.982212,-118.265352,90003
105th Street Pocket Park,Outdoor Fitness Equipment,33.940919,-118.285253,90044
Saint Andrews Recreation Center,Outdoor Fitness Equipment,33.95882144,-118.3112791,90047
Glassell Park,Outdoor Fitness Equipment,34.11673874,-118.2331726,90065
Gladys Jean Wesson Park,Outdoor Fitness Equipment,34.033847,-118.340309,90016
Watts Community Park,Outdoor Fitness Equipment,33.932023,-118.240098,90059
Studio City Park (Beeman Park),Outdoor Fitness Equipment,34.15137297,-118.4079843,91604
Kagel Canyon Park,Outdoor Fitness Equipment,34.28069157,-118.3804559,91342
Holleigh Bernson Memorial Park,Outdoor Fitness Equipment,34.293003,-118.571202,91326
6th & Gladys Street Park,Outdoor Fitness Equipment,34.04032,-118.242479,90021
Westside Neighborhood Park,Outdoor Fitness Equipment,34.029093,-118.36998,90016
Seily Rodriguez Park,Outdoor Fitness Equipment,34.092917,-118.313975,90038
Evergreen Recreation Center,Outdoor Fitness Equipment,34.038954,-118.203476,90033
North Hollywood Park,Outdoor Fitness Equipment,34.1679113,-118.3798722,91601
North East Valley Multipurpose Center,Outdoor Fitness Equipment,34.276262,-118.413154,91331
Tiara Street Park,Outdoor Fitness Equipment,34.178441,-118.382361,91601
West Adams Heights Park,Outdoor Fitness Equipment,34.03883,-118.300475,90007
Hollenbeck Park,Outdoor Fitness Equipment,34.04136456,-118.2160944,90033
Hoover Recreation Center,Outdoor Fitness Equipment,34.03273559,-118.2830944,90007
