,dr_no,area,date_occ,time_occ,location,lat,lon,crm_cd,zipcode
0,190519119,5,2019-12-09T00:00:00.000,130,25100    FRAMPTON                     AV,33.7968,-118.2999,901,90710
1,190720594,7,2019-12-09T00:00:00.000,1055,1200 S  LA BREA                      AV,34.0534,-118.3436,745,90019
2,191228459,12,2019-12-09T00:00:00.000,2350,4500 S  VAN NESS                     AV,34.0028,-118.3171,230,90062
3,191824614,18,2019-12-09T00:00:00.000,1915,10100    GRANDEE                      AV,33.9397,-118.2438,230,90002
4,190920997,9,2019-12-09T00:00:00.000,700,14200    RIVERSIDE                    DR,34.1576,-118.4422,310,91423
5,190326059,3,2019-12-09T00:00:00.000,100,4000    STEVELY                      AV,34.015,-118.3536,740,90008
6,192021119,20,2019-12-09T00:00:00.000,220,700 S  CATALINA                     ST,34.0598,-118.2954,626,90005
7,190222985,2,2019-12-09T00:00:00.000,1030,N  VERMONT                      AV,34.0888,-118.2917,230,90029
8,191018734,10,2019-12-09T00:00:00.000,130,17500    ROSCOE                       BL,34.2209,-118.5149,626,91325
9,191617398,16,2019-12-09T00:00:00.000,130,11200    WOODCOCK                     AV,34.2743,-118.4194,930,91331
10,190519116,5,2019-12-09T00:00:00.000,50,PACIFIC COAST                HY,33.8481,-118.3041,946,90501
11,191323538,13,2019-12-09T00:00:00.000,951,41ST                         ST,34.0086,-118.2474,813,90011
12,190417757,4,2019-12-09T00:00:00.000,300,900 S  FRESNO                       ST,34.0298,-118.2056,626,90023
14,190920990,9,2019-12-09T00:00:00.000,1610,14900    BURBANK                      BL,34.1721,-118.4574,660,91411
15,190720589,7,2019-12-09T00:00:00.000,1150,600 S  DETROIT                      ST,34.0649,-118.3451,210,90036
16,190128822,1,2019-12-09T00:00:00.000,304,7TH                          ST,34.0445,-118.2523,350,90014
17,190128870,1,2019-12-09T00:00:00.000,900,1600 S  HOPE                         ST,34.0363,-118.2677,510,90015
18,190326089,3,2019-12-09T00:00:00.000,1325,2700 S  FIGUEROA                     ST,34.0268,-118.2808,442,90007
19,190921001,9,2019-12-09T00:00:00.000,331,14100    SHERMAN                      WY,34.2012,-118.44,520,91405
20,191824630,18,2019-12-09T00:00:00.000,1400,BROADWAY,33.9265,-118.2782,230,90061
21,191920321,19,2019-12-09T00:00:00.000,1145,12500    SAN FERNANDO                 RD,34.2913,-118.4502,210,91342
22,190222996,2,2019-12-09T00:00:00.000,1140,1500 W  8TH                          ST,34.0511,-118.2707,230,90017
23,191617394,16,2019-12-09T00:00:00.000,1100,TUXFORD,34.2275,-118.381,210,91352
24,191521697,15,2019-12-09T00:00:00.000,1740,11300    TIARA                        ST,34.1785,-118.3768,354,91601
25,190519127,5,2019-12-09T00:00:00.000,415,1200 W  LOMITA                       BL,33.7978,-118.2975,230,90710
26,190623483,6,2019-12-09T00:00:00.000,1400,7500    DE LONGPRE                   AV,34.0962,-118.3545,341,90046
27,190417770,4,2019-12-09T00:00:00.000,730,5300    HUNTINGTON DR,34.0906,-118.1648,624,90032
28,190128868,1,2019-12-09T00:00:00.000,1620,700 E  6TH                          ST,34.0412,-118.2436,900,90021
29,191323551,13,2019-12-09T00:00:00.000,200,2500 S  NAOMI                        AV,34.0186,-118.2519,510,90011
30,191228534,12,2019-12-09T00:00:00.000,330,2100 W  52ND                         ST,33.9951,-118.316,740,90062
31,190128857,1,2019-12-09T00:00:00.000,1500,CHICK HEARN                  CT,34.0451,-118.27,210,90015
32,190128867,1,2019-12-09T00:00:00.000,800,18TH                         ST,34.0359,-118.2711,745,90015
33,191228458,12,2019-12-09T00:00:00.000,2350,4500 S  VAN NESS                     AV,34.0028,-118.3171,230,90062
34,190920985,9,2019-12-09T00:00:00.000,230,15000    VALLEYHEART                  DR,34.161,-118.4596,420,91403
35,190417772,4,2019-12-09T00:00:00.000,1220,4400    GUARDIA                      AV,34.0965,-118.1674,626,90032
36,191120611,11,2019-12-09T00:00:00.000,1243,2600    COLORADO                     BL,34.1442,-118.21799999999999,886,90041
37,190128865,1,2019-12-09T00:00:00.000,1250,500    WALL                         ST,34.0449,-118.2458,624,90013
38,190920987,9,2019-12-09T00:00:00.000,1400,14200    MOORPARK                     ST,34.1507,-118.4422,740,91423
39,190720571,7,2019-12-09T00:00:00.000,1145,200 S  LA BREA                      AV,34.0726,-118.3463,341,90036
40,190128859,1,2019-12-09T00:00:00.000,800,HOPE                         ST,34.0437,-118.2617,420,90015
41,191120622,11,2019-12-09T00:00:00.000,1250,4900    LOS FELIZ                    BL,34.1103,-118.2963,888,90027
42,191120605,11,2019-12-09T00:00:00.000,1030,4700    CRYSTAL SPRINGS              DR,34.1516,-118.2859,330,90027
43,191018778,10,2019-12-09T00:00:00.000,1740,5100    CALVIN                       AV,34.1646,-118.5558,354,91356
44,191617375,16,2019-12-09T00:00:00.000,300,11800    RIALTO                       ST,34.2271,-118.3906,310,91352
45,191425187,14,2019-12-09T00:00:00.000,1235,3500    BUTLER                       AV,34.0154,-118.4266,888,90066
46,190720557,7,2019-12-09T00:00:00.000,600,400 N  LA CIENEGA                   BL,34.0784,-118.3766,740,90048
