,zipcode,address,price,size
0,91001,"94 W Poppyfields Dr, Altadena, CA 91001",715746,1550
1,91001,"382 W Palm St, Altadena, CA 91001",736184,1562
2,91001,"2793 Lincoln Ave, Altadena, CA 91001",665000,971
3,91001,"2318 Olive Ave, Altadena, CA 91001",595000,1219
4,91001,"3274 Olive Ave, Altadena, CA 91001",1200000,2937
5,91001,"111 E Palm St, Altadena, CA 91001",748000,1602
6,91001,"864 E Sacramento St, Altadena, CA 91001",700000,1718
7,91001,"3351 Camp Huntington Rd, Altadena, CA 91001",3000000,2386
8,91001,"183 W Woodbury Rd, Altadena, CA 91001",749900,945
9,91001,"647 E Palm St, Altadena, CA 91001",967833,1628
10,91001,"372 W Harriet St, Altadena, CA 91001",759500,1338
11,91001,"1302 E Loma Alta Dr, Altadena, CA 91001",925000,1700
12,91001,"2954 Zane Grey Ter, Altadena, CA 91001",1899000,4359
14,91001,"2518 Santa Rosa Ave, Altadena, CA 91001",1325000,2154
15,91001,"2692 Fair Oaks Ave, Altadena, CA 91001",609000,838
16,91001,"1215 Meadowbrook Rd, Altadena, CA 91001",948000,1525
18,91001,"210 Highlawn Pl, Altadena, CA 91001",754000,1530
20,91001,"1966 Homewood Dr, Altadena, CA 91001",2250000,3397
21,91001,"632 Coate Ct, Altadena, CA 91001",1972000,4752
22,91001,"4543 El Prieto Rd, Altadena, CA 91001",1299000,2768
23,91001,"3243 Summit Ave, Altadena, CA 91001",698888,840
26,91001,"2134 El Sereno Ave, Altadena, CA 91001",749000,792
28,91001,"4381 Rising Hill Rd, Altadena, CA 91001",758000,1302
31,91001,"3239 Marengo Ave, Altadena, CA 91001",948000,2393
36,91001,"500 E Loma Alta Dr, Altadena, CA 91001",1579000,2480
38,91001,"2010 Mendocino Ln, Altadena, CA 91001",2448000,2904
40,91006,"2908 Sycamore Ln, Arcadia, CA 91006",899998,1908
41,91006,"3113 Hodges Ave, Arcadia, CA 91006",698000,1856
42,91006,"1837 S 7th Pl, Arcadia, CA 91006",928000,1713
43,91006,"414 E Lemon Ave, Arcadia, CA",2288000,3791
44,91006,"1225 Oaklawn Rd, Arcadia, CA 91006",1980000,2595
46,91006,"298 W Foothill Blvd, Arcadia, CA 91006",1374999,2105
47,91006,"1409 San Carlos Rd, Arcadia, CA 91006",6888000,8170
48,91006,"132 Eldorado St, Arcadia, CA 91006",1835000,3423
49,91006,"917 E Camino Real Ave, Arcadia, CA 91006",1350000,4143
50,91006,"1306 Pepper Way, Arcadia, CA 91006",890000,2083
51,91006,"2654 Treelane Ave, Arcadia, CA 91006",535000,1438
52,91006,"300 Whispering Pines Dr, Arcadia, CA 91006",3668000,3956
53,91006,"251 W Foothill Blvd, Arcadia, CA 91006",2680000,3694
54,91006,"1127 W Foothill Blvd, Arcadia, CA 91006",2600000,2628
56,91006,"1360 Michillinda Ave, Arcadia, CA 91006",2498000,3375
57,91006,"232 E Duarte Rd, Arcadia, CA 91006",2290000,3852
58,91006,"301 Danimere Ave, Arcadia, CA 91006",1368000,2392
59,91006,"4448 4462 Live Oak Ave, Arcadia, CA",799999,4944
61,91006,"158 Alta St APT C, Arcadia, CA 91006",649500,1442
63,91006,"1617 S 1st Ave, Arcadia, CA 91006",2428000,5054
64,91006,"219 California St, Arcadia, CA 91006",4200000,8557
65,91006,"908 N Santa Anita Ave UNIT B, Arcadia, CA 91006",894900,1970
66,91006,"1010 El Sur Ave, Arcadia, CA 91006",1398000,1358
67,91006,"2122 S 3rd Ave, Arcadia, CA 91006",1868000,3778
68,91006,"71 Hacienda Dr, Arcadia, CA 91006",3668000,3291
69,91006,"1833 Louise Ave, Arcadia, CA 91006",1088000,1688
70,91006,"410 E Winnie Way, Arcadia, CA 91006",2250000,4045
71,91006,"2531 Louise Ave, Arcadia, CA 91006",3280000,6138
72,91006,"4050 Lynd Ave, Arcadia, CA 91006",575000,1050
73,91006,"337 California St, Arcadia, CA 91006",880000,2161
74,91006,"429 E Norman Ave, Arcadia, CA",2450000,3633
75,91006,"1216 Valencia Way, Arcadia, CA 91006",1190000,2309
77,91006,"3383 Lynd Ave, Arcadia, CA 91006",549000,1305
79,91006,"33 E Las Flores Ave, Arcadia, CA 91006",3698000,7108
80,91007,"500 San Luis Rey Rd, Arcadia, CA 91007",2200000,4400
81,91007,"1143 Paloma Dr, Arcadia, CA",2980000,4276
82,91007,"309 Joaquin Rd, Arcadia, CA 91007",949000,1155
83,91007,"94 W Sandra Ave, Arcadia, CA 91007",2287000,3764
84,91007,"335 W Norman Ave, Arcadia, CA 91007",7690000,10942
85,91007,"2501 Woodruff Way, Arcadia, CA 91007",2480000,5170
86,91007,"1002 W Huntington Dr # B, Arcadia, CA 91007",665000,1576
87,91007,"1131 Volante Dr, Arcadia, CA 91007",1258888,1973
88,91007,"450 Walnut Ave, Arcadia, CA 91007",2860000,5943
89,91007,"459 Fairview Ave APT H, Arcadia, CA 91007",768000,1730
90,91007,"122 W Le Roy Ave, Arcadia, CA 91007",1888888,3787
91,91007,"630 W Huntington Dr UNIT 132, Arcadia, CA 91007",535000,1363
92,91007,"401 W Duarte Rd UNIT 2, Arcadia, CA 91007",648000,1661
93,91007,"928 W Duarte Rd, Arcadia, CA 91007",1198000,2665
94,91007,"636 W Lemon Ave, Arcadia, CA 91007",1530000,1152
95,91007,"582 W Huntington Dr UNIT C, Arcadia, CA 91007",588000,1382
96,91007,"656 W Huntington Dr # P-1, Arcadia, CA 91007",930000,1790
97,91007,"478 Walnut Ave, Arcadia, CA 91007",1500000,2654
98,91007,"920 Paloma Dr, Arcadia, CA 91007",3498000,5062
99,91007,"9626 Ancourt St, Arcadia, CA 91007",768000,1273
100,91007,"30 S Altura Rd, Arcadia, CA 91007",1098000,1750
101,91007,"263 Las Tunas Dr, Arcadia, CA 91007",1295000,1568
102,91007,"1156 W Duarte Rd UNIT 4, Arcadia, CA 91007",559000,1188
103,91007,"1115 Lyndon Way, Arcadia, CA 91007",2980000,4267
104,91007,"608 W Palm Dr, Arcadia, CA 91007",1698000,2491
105,91007,"689 W Palm Dr, Arcadia, CA 91007",1880000,3116
106,91007,"833 W Duarte Rd, Arcadia, CA 91007",3900000,8838
107,91007,"35 W Camino Real Ave, Arcadia, CA 91007",1890000,4270
108,91007,"917 Palo Alto Dr, Arcadia, CA 91007",1180000,1451
109,91007,"265 W Naomi Ave, Arcadia, CA 91007",4998000,8357
110,91007,"971 Hugo Reid Dr, Arcadia, CA 91007",1949000,2833
112,91007,"182 W Palm Dr, Arcadia, CA 91007",1678000,3175
113,91007,"345 W Naomi Ave, Arcadia, CA 91007",6198000,9333
114,91007,"458 W Huntington Dr UNIT A, Arcadia, CA 91007",719900,1722
