,zipcode,address,price,size
0,93535,"40997 173rd St E, Lancaster, CA 93535",260000,1676
2,93535,"44732 Stanridge Ave, Lancaster, CA 93535",245000,1260
3,93535,"44835 Division St, Lancaster, CA 93535",229900,970
4,93535,"1846 Park Circle Dr, Lancaster, CA 93535",247000,1167
5,93535,"45465 25th St E SPC 283, Lancaster, CA 93535",99500,1175
6,93535,"45465 25th St E SPC 216, Lancaster, CA 93535",130000,1614
7,93535,"1745 E Norberry St, Lancaster, CA 93535",270000,1581
8,93535,"43140 Homestead St, Lancaster, CA 93535",324990,1784
9,93535,"44900 20th St E, Lancaster, CA 93535",2200000,10
12,93535,"503 E Norberry St, Lancaster, CA 93535",250000,1227
14,93535,"45265 Sancroft Ave, Lancaster, CA 93535",259900,1475
16,93535,"43606 Stanridge Ave, Lancaster, CA 93535",114900,1008
20,93535,"2121 E Avenue I SPC 98, Lancaster, CA 93535",105000,1248
21,93535,"00 107th St E, Lancaster, CA 93535",11000,5
25,93535,"2044 E Oldfield St, Lancaster, CA 93535",340000,2282
27,93535,"608 E Nugent St, Lancaster, CA 93535",279900,1186
28,93535,"40936 176th St E, Lancaster, CA 93535",259990,1563
29,93535,"5020 E Avenue K4, Lancaster, CA 93535",505000,2103
30,93535,"40612 173rd St E, Lake Los Angeles, CA 93535",269900,1402
34,93535,"321 E Avenue J13, Lancaster, CA 93535",219000,1046
37,93535,"744 E Avenue J11, Lancaster, CA 93535",290000,1855
38,93535,"630 E Avenue J4, Lancaster, CA 93535",260000,1440
39,93535,"265 E Avenue J8, Lancaster, CA 93535",230000,1200
40,91108,"2152 Valentine Pl, San Marino, CA 91108",1980000,2908
41,91108,"1833 S El Molino Ave, San Marino, CA 91108",1569000,2196
42,91108,"1267 Shenandoah Rd, San Marino, CA 91108",7960800,7462
43,91108,"2836 Cumberland Rd, San Marino, CA",3890000,3770
44,91108,"1975 Saint Albans Rd, San Marino, CA 91108",2699000,3076
45,91108,"2390 Ridgeway Rd, San Marino, CA 91108",3290000,3597
46,91108,"1716 Lorain Rd, San Marino, CA 91108",2600000,3468
47,91108,"2915 Somerset Pl, San Marino, CA 91108",1788000,2678
48,91108,"2160 Adair St, San Marino, CA 91108",4698000,3889
50,91108,"1730 Banning Way, San Marino, CA 91108",1950000,2563
51,91108,"1985 Del Mar Ave, San Marino, CA 91108",1435000,1891
52,91108,"1265 Winston Ave, San Marino, CA 91108",4275000,4328
53,91108,"965 San Marino Ave, San Marino, CA 91108",4700000,5685
54,91108,"1203 Sierra Madre Blvd, San Marino, CA 91108",4595000,5409
55,91108,"1910 Sycamore Dr, San Marino, CA 91108",1890000,2652
56,91108,"2735 Canterbury Rd, San Marino, CA",4498000,4100
57,91108,"2435 Sherwood Rd, San Marino, CA 91108",2780000,3365
58,91108,"1560 Old Mill Rd, San Marino, CA 91108",3980000,2637
59,91108,"933 S Santa Anita Ave, San Marino, CA 91108",3180000,3546
61,91108,"1241 Encino Dr, Pasadena, CA 91108",2599888,3848
62,91108,"2285 Huntley Cir, San Marino, CA 91108",2988888,3677
64,91108,"1649 Banning Way, San Marino, CA 91108",2680000,2770
65,91108,"2767 Fleur Dr, San Marino, CA 91108",1980000,2557
66,91108,"45 Kewen Pl, San Marino, CA 91108",3980000,4064
67,91108,"1930 Lorain Rd, San Marino, CA 91108",2888000,3936
68,91108,"660 Lombardy Pl, San Marino, CA 91108",4850000,6540
69,91108,"1045 Roanoke Rd, San Marino, CA 91108",3980000,4490
70,91108,"1835 Westhaven Rd, San Marino, CA 91108",3588000,3193
71,91108,"2830 Canterbury Rd, San Marino, CA 91108",3490000,3757
72,91108,"1780 Ramiro Rd, San Marino, CA 91108",2225000,3430
73,91108,"1240 San Marino Ave, San Marino, CA 91108",3530000,3640
74,91108,"1259 Sherwood Rd, San Marino, CA 91108",3480000,3600
75,91108,"1725 Sharon Pl, San Marino, CA",3888000,3527
76,91108,"2120 Urmston Pl, San Marino, CA 91108",2450000,2646
77,91108,"1285 S San Gabriel Blvd, San Marino, CA",2630000,2821
78,91108,"2230 El Molino Pl, San Marino, CA 91108",1498000,1747
79,91108,"1460 Avonrea Rd, San Marino, CA 91108",5280000,7557
86,93543,"00000 116 Th St, Littlerock, CA 93543",48000,9
89,93543,"10141 E # W-14, Littlerock, CA 93543",1800000,5127
92,93543,"10257 E Avenue S4, Littlerock, CA 93543",239000,1036
96,93543,"9654 E Avenue R14, Littlerock, CA 93543",375000,2148
97,93543,"36814 95th St E, Littlerock, CA 93543",319900,1771
98,93543,"7308 E Avenue U3, Littlerock, CA 93543",279990,1302
102,93543,"11803 Beaucourt Ave, Juniper Hills, CA 93543",315000,2289
105,93543,"9177 E Ave S-10, Littlerock, CA 93543",199990,680
106,93543,"8706 E Avenue T4, Littlerock, CA 93543",335000,1312
111,93543,"9731 E Avenue S8, Littlerock, CA 93543",375000,2126
112,93543,"35349 80th St E, Littlerock, CA 93543",649000,4871
119,93543,"0 E Vic Ave Z8 113 St, Juniper Hills, CA 93543",40000,10
120,93544,"28831 233rd St E, Llano, CA 93544",100000,825
123,93544,"33048 223rd St E, Llano, CA 93544",450000,3755
124,93544,"Fort Tejon # 195, Llano, CA 93544",9700,4
128,93544,"Avenue X8, Llano, CA 93544",25000,5
141,93544,"16754 E Avenue X SPACE 41, Llano, CA 93544",85000,1500
142,93544,"204 263rd St E, Llano, CA 93544",17600,10
143,93544,"204 Duncan Rd, Llano, CA 93544",12650,10
148,93544,"E 263rd St St, Llano, CA 93544",4500,5
151,93544,"15577 Boca Raton Ave, Llano, CA 93544",374245,4051
152,93544,"32000 263rd St E, Llano, CA 93544",199900,1248
154,93544,"29218 Mescal Highlands Dr, Llano, CA 93544",340000,1932
160,91202,"1401 Valley View Rd APT 109, Glendale, CA 91202",629000,1468
161,91202,"1201 Graynold Ave, Glendale, CA 91202",849000,1463
162,91202,"1105 Highland Ave, Glendale, CA 91202",880000,1554
163,91202,"519 Valentine Dr, Glendale, CA 91202",199000,10868
164,91202,"543 W Stocker St UNIT 2, Glendale, CA 91202",589000,1328
165,91202,"1145 Graynold Ave, Glendale, CA 91202",878656,1618
166,91202,"669 W Glenoaks Blvd, Glendale, CA 91202",1050000,1391
167,91202,"631 Caleb St, Glendale, CA 91202",1595000,5001
168,91202,"537 Valentine Dr, Glendale, CA 91202",150000,9940
169,91202,"1717 Idlewood Rd, Glendale, CA 91202",1897000,2690
170,91202,"1313 Valley View Rd APT 109, Glendale, CA 91202",599000,1425
171,91202,"1428 Idlewood Rd, Glendale, CA 91202",1200000,1745
172,91202,"320 Kempton Rd, Glendale, CA 91202",1549000,2170
173,91202,"1621 Arbor Dr, Glendale, CA 91202",2250000,3182
174,91202,"1528 N Columbus Ave, Glendale, CA 91202",1595000,2043
175,91202,"1428 Virginia Ave, Glendale, CA 91202",1580000,2653
176,91202,"1422 N Central Ave APT 8, Glendale, CA 91202",749950,2115
177,91202,"1724 Ben Lomond Dr, Glendale, CA 91202",1799000,3149
178,91202,"1422 N Central Ave APT 1, Glendale, CA 91202",865000,2367
179,91202,"1401 Valley View Rd APT 228, Glendale, CA 91202",544999,1268
180,91202,"455 Audraine Dr, Glendale, CA 91202",1998000,3757
181,91202,"600 W Stocker St APT 304, Glendale, CA 91202",499900,1232
182,91202,"810 Norton Ave, Glendale, CA 91202",4795000,6144
183,91202,"570 W Stocker St UNIT 214, Glendale, CA 91202",464900,1051
185,91202,"1401 Valley View Rd APT 130, Glendale, CA 91202",539500,1268
188,91202,"0 Tr 4881 LOT 9, Glendale, CA 91202",55000,6817
189,91202,"0 Tr 4881 LOT 8, Glendale, CA 91202",55000,8585
192,91202,"624 Beulah St, Glendale, CA 91202",855000,1536
193,91202,"1748 Hillcrest Ave, Glendale, CA 91202",2195000,4810
196,91202,"347 Wonderview Dr, Glendale, CA 91202",1200000,2953
197,91202,"223 W Stocker St, Glendale, CA 91202",789000,840
200,91201,"1312 Elm Ave, Glendale, CA 91201",1150000,1827
201,91201,"1538 Lake St, Glendale, CA 91201",699000,1197
202,91201,"1546 Grandview Ave, Glendale, CA 91201",1495000,2150
203,91201,"1534 Irving Ave, Glendale, CA 91201",1395000,2710
204,91201,"1273 Raymond Ave, Glendale, CA 91201",744000,837
205,91201,"510 Justin Ave APT 204, Glendale, CA 91201",535000,1056
206,91201,"1221 Winchester Ave, Glendale, CA 91201",998000,1244
207,91201,"1169 Ruberta Ave UNIT E, Glendale, CA 91201",689000,1558
208,91201,"1600 Grandview Ave, Glendale, CA 91201",2450000,4602
209,91201,"1314 Fairfield St, Glendale, CA 91201",980000,1724
210,91201,"1840 W Glenoaks Blvd, Glendale, CA 91201",1765000,3550
211,91201,"426 Western Ave, Glendale, CA 91201",975000,2005
213,91201,"1800 Bel Aire Dr, Glendale, CA 91201",1250000,1988
214,91201,"1435 Lee Dr, Glendale, CA 91201",1100000,1698
215,91201,"1121 Winchester Ave, Glendale, CA 91201",2200000,4100
216,91201,"1341 Raymond Ave, Glendale, CA 91201",1349000,2745
217,91201,"1836 Lake St, Glendale, CA 91201",750000,1061
218,91201,"1138 Western Ave, Glendale, CA 91201",2100000,4501
220,91201,"1330 Truitt St, Glendale, CA 91201",830000,1426
221,91201,"1414 Randall St, Glendale, CA 91201",1059000,1948
223,91201,"1344 Western Ave, Glendale, CA 91201",1875000,4728
224,91201,"1140 Irving Ave, Glendale, CA 91201",2199000,5059
230,93591,"14720 E Palmdale Blvd, Palmdale, CA 93591",291500,1450
238,93591,"00 240 St E, Palmdale, CA 93591",23000,27
245,93591,"40137 168th St E, Lake Los Angeles, CA 93591",249900,1000
252,93591,"9820 E Palmdale Blvd, Palmdale, CA 93591",285000,1833
261,93591,"39516 163rd St E, Palmdale, CA 93591",199000,1402
267,91204,"424 Oak St UNIT 338, Glendale, CA 91204",409999,839
269,91204,"207 W Garfield Ave, Glendale, CA 91204",2500000,6638
270,91204,"532 W Elk Ave UNIT 2, Glendale, CA 91204",789000,1470
271,91204,"532 W Elk Ave UNIT 1, Glendale, CA 91204",789000,1470
272,91204,"147 W Acacia Ave APT 160, Glendale, CA 91204",519900,1528
274,91204,"433 W Garfield Ave, Glendale, CA 91204",1690000,4885
275,91204,"147 W Acacia Ave, Glendale, CA 91204",639000,1528
276,91204,"147 W Acacia Ave APT 153, Glendale, CA 91204",639000,1528
278,91203,"436 W California Ave, Glendale, CA 91203",795000,2677
279,91203,"409 Burchett St UNIT 218, Glendale, CA 91203",319000,630
280,91203,"343 Pioneer Dr UNIT 1205, Glendale, CA 91203",779000,1443
282,91203,"343 Pioneer Dr UNIT 403, Glendale, CA 91203",549000,1279
283,91203,"365 Burchett St UNIT 306, Glendale, CA 91203",379900,629
284,91203,"339 W Wilson Ave UNIT 103, Glendale, CA 91203",499000,1132
285,91203,"345 Pioneer Dr UNIT 105, Glendale, CA 91203",690000,1443
290,91206,"2989 Saint Gregory Rd, Glendale, CA 91206",1599000,2760
291,91206,"1108 Stanley Ave, Glendale, CA 91206",2500000,6142
292,91206,"1135 E Wilson Ave APT 4, Glendale, CA 91206",485000,907
293,91206,"2125 Ashington Dr, Glendale, CA 91206",1250000,2520
294,91206,"522 N Jackson St APT 304, Glendale, CA 91206",549000,1171
295,91206,"500 E Lexington Dr APT 209, Glendale, CA 91206",499999,1160
296,91206,"500 E Lexington Dr # 000, Glendale, CA 91206",499999,1160
297,91206,"2925 Graceland Way, Glendale, CA 91206",988888,1424
298,91206,"323 N Jackson St APT 108, Glendale, CA 91206",579000,1300
299,91206,"612 Canyon Dr, Glendale, CA 91206",748561,1066
300,91206,"335 N Adams St UNIT 222, Glendale, CA 91206",579000,1227
301,91206,"1631 Parway Dr, Glendale, CA 91206",1195000,2214
302,91206,"1247 E Wilson Ave APT 12, Glendale, CA 91206",679000,1608
306,91206,"3175 Kirkham Dr, Glendale, CA 91206",1199000,1861
308,91206,"1770 Golf Club Dr, Glendale, CA 91206",2999999,5360
309,91206,"344 N Maryland Ave UNIT 107, Glendale, CA 91206",440000,988
310,91206,"612 Luton Dr, Glendale, CA 91206",895000,1820
312,91206,"1477 E Wilson Ave, Glendale, CA 91206",849500,1739
313,91206,"521 Geneva St, Glendale, CA 91206",1089000,2368
315,91206,"Cascadia Dr, Glendale, CA 91206",70000,5951
316,91206,"0 Cascadia Dr, Glendale, CA 91206",70000,5950
317,91206,"121 N Adams St APT 8, Glendale, CA 91206",519999,1164
319,91206,"2840 Glenoaks Canyon Dr, Glendale, CA 91206",1549000,2548
321,91206,"3000 Buckingham Rd, Glendale, CA 91206",2175000,3711
322,91206,"418 Piedmont Ave, Glendale, CA 91206",4350000,11643
323,91206,"3021 E Chevy Chase Dr, Glendale, CA 91206",1695000,2190
324,91206,"1145 E California Ave, Glendale, CA 91206",4250000,11033
325,91206,"444 Devonshire Ln, Glendale, CA 91206",839000,1096
327,91206,"2430 Drury Ln, Glendale, CA 91206",185000,5662
328,91206,"2564 E Chevy Chase Dr, Glendale, CA 91206",1475000,3230
329,91206,"1711 Gladys Dr, Glendale, CA 91206",175000,10332
330,91205,"1257 Oakridge Dr, Glendale, CA 91205",585000,1124
331,91205,"1503 Stanford Dr, Glendale, CA 91205",779000,1625
332,91205,"826 E Acacia Ave APT C, Glendale, CA 91205",549000,1363
333,91205,"1523 E Windsor Rd APT 115B, Glendale, CA 91205",429900,809
334,91205,"1021 Tyler St, Glendale, CA 91205",1250000,3034
335,91205,"520 Porter St, Glendale, CA 91205",899000,1406
336,91205,"909 E Garfield Ave APT 7, Glendale, CA 91205",575000,1360
337,91205,"618 Alta Vista Dr, Glendale, CA 91205",874900,1890
338,91205,"1517 E Garfield Ave APT 77, Glendale, CA 91205",379000,708
339,91205,"619 S Louise St, Glendale, CA 91205",635000,640
340,91205,"1133 E Palmer Ave, Glendale, CA 91205",1780000,3880
341,91205,"1517 E Garfield Ave APT 52, Glendale, CA 91205",469000,1099
342,91205,"118 S Kenwood St # 406, Glendale, CA 91205",765000,1203
343,91205,"824 E Palmer Ave, Glendale, CA 91205",559000,768
344,91205,"1222 Boynton St, Glendale, CA 91205",840000,1196
345,91205,"730 E Chevy Chase Dr # B, Glendale, CA 91205",1250000,2517
346,91205,"1001 E Acacia Ave, Glendale, CA 91205",3325000,6096
347,91205,"0 Cypress, Glendale, CA 91205",39500,6141
349,91205,"341 Mission Rd, Glendale, CA 91205",999900,1936
350,91205,"1517 E Garfield Ave APT 35, Glendale, CA 91205",475000,1068
352,91205,"1360 E Palmer Ave, Glendale, CA 91205",99450,3136
353,91205,"118 S Kenwood St # 102, Glendale, CA 91205",779000,1203
354,91205,"1432 E Windsor Rd, Glendale, CA 91205",925000,2191
355,91205,"1432 1434 E Windsor Rd, Glendale, CA 91205",925000,2191
356,91205,"1516 E Broadway # 15, Glendale, CA 91205",575000,1324
361,91205,"1400 Marion Dr, Glendale, CA 91205",399000,8651
362,91208,"3133 San Gabriel Ave, Glendale, CA 91208",1459000,2185
363,91208,"1830 Crestmont Ct, Glendale, CA 91208",1050000,1747
364,91208,"1935 Alpha Rd UNIT 314, Glendale, CA 91208",524900,1233
365,91208,"1345 Selvas Pl, Glendale, CA 91208",1075000,1635
366,91208,"2511 Hermosita Dr, Glendale, CA 91208",1995000,3038
367,91208,"1855 Verdugo Knolls Dr, Glendale, CA 91208",1085000,1552
368,91208,"3677 Urquidez Ave, Glendale, CA 91208",949000,1888
369,91208,"3308 Barnes Cir, Glendale, CA",3988000,5481
370,91208,"3811 Lockerbie Ct, Glendale, CA 91208",1688000,3460
371,91208,"1819 Sherer Ln, Glendale, CA 91208",1997000,3335
372,91208,"3060 N Verdugo Rd, Glendale, CA 91208",999999,1148
373,91208,"1879 Verdugo Loma Dr, Glendale, CA 91208",999000,2240
375,91208,"3481 Stancrest Dr UNIT 219, Glendale, CA 91208",579000,1460
376,91208,"0 Emburns Dr, Glendale, CA",11000,3942
378,91208,"0 Pasa Glen Dr, Glendale, CA 91208",10000,4552
379,91208,"Pasa Glen Dr, Glendale, CA 91208",5000,3484
381,91208,"1610 Don Carlos Ave, Glendale, CA 91208",1599000,2877
384,91208,"909 Calle La Primavera, Glendale, CA 91208",1250000,2268
385,91208,"0 Ilamae 17 Pl, Glendale, CA 91208",10000,5841
386,91208,"0 Ilamae 16 Pl, Glendale, CA 91208",10000,4582
387,91208,"0 Ilamae 15 Pl, Glendale, CA 91208",10000,3589
388,91208,"0 Ilamae 14 Pl, Glendale, CA 91208",10000,4752
389,91208,"0 Ilamae 13 Pl, Glendale, CA 91208",10000,6272
390,91208,"0 Ilamae 12 Pl, Glendale, CA 91208",10000,4578
391,91208,"0 Ilamae 11 Pl, Glendale, CA 91208",10000,6041
392,91208,"0 Ilamae 10 Pl, Glendale, CA 91208",10000,5431
393,91208,"0 Ilamae 9 Pl, Glendale, CA 91208",10000,5231
394,91208,"0 Ilamae 7 Pl, Glendale, CA 91208",10000,7135
395,91208,"0 Ilamae 8 Pl, Glendale, CA 91208",10000,8084
396,91208,"0 Ilamae 6 Pl, Glendale, CA 91208",10000,4090
397,91208,"0 Ilamae 4 Pl, Glendale, CA 91208",10000,5161
398,91208,"0 Ilamae 3 Pl, Glendale, CA 91208",10000,6211
399,91208,"0 Ilamae 5 Pl, Glendale, CA 91208",10000,4978
400,91208,"0 Ilamae 2 Pl, Glendale, CA 91208",10000,5405
401,91208,"0 Ilamae 1 Pl, Glendale, CA 91208",10000,8546
402,91207,"1223 N Everett St, Glendale, CA 91207",1489000,2489
403,91207,"411 E Randolph St, Glendale, CA 91207",875000,1656
404,91207,"411 413 E Randolph St, Glendale, CA 91207",875000,1656
405,91207,"321 E Stocker St APT 301, Glendale, CA 91207",920000,2210
406,91207,"1138 N Everett St, Glendale, CA 91207",1059000,1896
407,91207,"1853 Las Flores Dr, Glendale, CA 91207",1199900,2173
408,91207,"1228 Moncado Dr, Glendale, CA 91207",879000,1255
409,91207,"1414 Royal Blvd, Glendale, CA 91207",1150000,1699
410,91207,"757 Cavanagh Rd, Glendale, CA 91207",1195000,1523
412,91207,"1131 Campbell St APT 208, Glendale, CA 91207",579900,1207
413,91207,"1339 Ethel St, Glendale, CA 91207",1006830,1791
414,91207,"1460 E Mountain St, Glendale, CA 91207",1295000,3075
415,91207,"1316 N Jackson St, Glendale, CA 91207",825000,2699
416,91207,"918 Hillcroft Rd, Glendale, CA 91207",1695000,2217
417,91207,"726 Bohlig Rd, Glendale, CA 91207",1299000,2486
420,91207,"1455 Dwight Dr, Glendale, CA 91207",1450000,3829
421,91207,"1541 Remah Vista Dr, Glendale, CA 91207",1350000,2400
422,91207,"201 E Stocker St, Glendale, CA 91207",949900,1894
423,91210,"576 Caruso Ave, Glendale, CA 91210",990000,1338
424,91210,"509 Caruso Ave, Glendale, CA 91210",1049000,1493
425,91210,"605 Caruso Ave # 605, Glendale, CA 91210",1269000,1529
426,91210,"572 Caruso Ave, Glendale, CA 91210",1029000,1361
428,91210,"511 Caruso Ave, Glendale, CA 91210",840888,1310
429,91210,"476 Caruso Ave, Glendale, CA 91210",979000,1338
430,91214,"5915 Canyonside Rd, La Crescenta, CA 91214",1495000,4940
431,91214,"3974 Pennsylvania Ave UNIT 112, La Crescenta, CA 91214",789000,2030
432,91214,"3643 3rd Ave, Glendale, CA 91214",469900,358
433,91214,"3715 Mayfield Ave, Glendale, CA 91214",700000,991
434,91214,"5548 Goss Canyon Ave, La Crescenta, CA 91214",898000,1404
435,91214,"3248 Washington Pl, Glendale, CA 91214",765000,1200
436,91214,"3130 Montrose Ave APT 118, Glendale, CA 91214",565000,1275
437,91214,"3220 Altura Ave APT 307, Glendale, CA 91214",364888,640
438,91214,"2861 El Caminito, La Crescenta, CA 91214",725000,930
439,91214,"3254 Montrose Ave, Glendale, CA 91214",1649000,3114
440,91214,"3719 5th Ave, Glendale, CA 91214",619000,1324
441,91214,"3220 Altura Ave APT 218, Glendale, CA 91214",355000,610
442,91214,"0 Gertrude Ave, La Crescenta, CA 91214",790000,8110
443,91214,"3707 4th Ave, Glendale, CA 91214",850000,1829
444,91214,"0 Foothill, La Crescenta, CA 91214",1950000,10454
445,91214,"3254 Altura Ave, Glendale, CA 91214",849000,1756
446,91214,"3214 Mary Ann St, Glendale, CA 91214",975000,1772
447,91214,"4135 Lowell Ave, Glendale, CA 91214",899000,1650
448,91214,"2625 Prospect Ave, La Crescenta, CA 91214",1395000,3016
449,91214,"2839 Sycamore Ave, Glendale, CA 91214",1199000,2483
450,91214,"4201 Pennsylvania Ave UNIT K2, La Crescenta, CA 91214",789000,1689
451,91214,"2326 Dorothy St, La Crescenta, CA 91214",850000,970
453,91214,"2900 Fairway Ave APT 601, Glendale, CA 91214",535000,1202
454,91214,"3742 Encinal Ave, Glendale, CA 91214",799000,1440
455,91214,"2342 Mountain Ave, La Crescenta, CA 91214",1679000,4401
456,91214,"3654 4th Ave, Glendale, CA 91214",1007000,2810
458,91214,"5500 La Crescenta Ave, La Crescenta, CA 91214",1200000,3459
459,91214,"4110 La Crescenta Ave APT 105, La Crescenta, CA 91214",760000,1390
464,91214,"4201 Pennsylvania Ave UNIT H2, La Crescenta, CA 91214",769000,1931
466,91214,"3130 Montrose Ave APT 108, Glendale, CA 91214",627750,1650
467,91214,"3503 Montrose Ave, Glendale, CA 91214",629900,854
468,91214,"4712 Pennsylvania Ave, La Crescenta, CA 91214",749950,1176
469,91214,"2306 Manzanita Ln, La Crescenta, CA 91214",959888,1423
471,91302,"23575 Park South St, Calabasas, CA 91302",3999000,9250
472,91302,"4131 Prado De Los Caballos, Calabasas, CA 91302",4199000,6455
473,91302,"5546 Jed Smith Rd, Hidden Hills, CA",22995000,13895
474,91302,"23140 Park Sorrento, Calabasas, CA 91302",1339000,2131
477,91302,"3960 Prado Del Maiz, Calabasas, CA 91302",2899000,4546
478,91302,"4040 Prado Del Trigo, Calabasas, CA 91302",2699500,4602
479,91302,"3525 Pansy Dr, Calabasas, CA 91302",423000,1420
480,91302,"25021 Jim Bridger Rd, Hidden Hills, CA 91302",4195000,4110
